# capacity
1427.682533

# weight price
1.282895 6.282895
5.399250 10.399250
7.472941 12.472941
5.692135 10.692135
6.388782 11.388782
6.154250 11.154250
5.544192 10.544192
3.565500 8.565500
8.438030 13.438030
2.371435 7.371435
1.083814 6.083814
1.602990 6.602990
1.910764 6.910764
8.847815 13.847815
8.081299 13.081299
3.133415 8.133415
3.003715 8.003715
1.324176 6.324176
2.419224 7.419224
9.485986 14.485986
2.710309 7.710309
7.469154 12.469154
8.278644 13.278644
6.154321 11.154321
2.594487 7.594487
3.569014 8.569014
8.432954 13.432954
4.430829 9.430829
9.510050 14.510050
4.683122 9.683122
5.161654 10.161654
2.811013 7.811013
9.491674 14.491674
5.705454 10.705454
3.506073 8.506073
6.306991 11.306991
9.854315 14.854315
9.062263 14.062263
8.967890 13.967890
5.832912 10.832912
3.229600 8.229600
3.178684 8.178684
2.242358 7.242358
7.056219 12.056219
7.934185 12.934185
3.379808 8.379808
7.988677 12.988677
3.144978 8.144978
6.287622 11.287622
8.067603 13.067603
3.219879 8.219879
2.743779 7.743779
7.099088 12.099088
6.487913 11.487913
4.694180 9.694180
1.339233 6.339233
6.942486 11.942486
3.654743 8.654743
3.867987 8.867987
6.079270 11.079270
5.124460 10.124460
7.258611 12.258611
3.621990 8.621990
1.037199 6.037199
8.726945 13.726945
7.271719 12.271719
7.115982 12.115982
6.871720 11.871720
7.134481 12.134481
5.200388 10.200388
7.504477 12.504477
6.157408 11.157408
4.439294 9.439294
6.047990 11.047990
5.053659 10.053659
9.623824 14.623824
6.810370 11.810370
5.014648 10.014648
4.171791 9.171791
7.857043 12.857043
1.526248 6.526248
9.546391 14.546391
8.796006 13.796006
3.393935 8.393935
6.156443 11.156443
6.559165 11.559165
8.445816 13.445816
2.064747 7.064747
9.507711 14.507711
9.679899 14.679899
8.800918 13.800918
3.777580 8.777580
9.639335 14.639335
5.284841 10.284841
8.288815 13.288815
1.516459 6.516459
2.751430 7.751430
4.348573 9.348573
9.352932 14.352932
5.633915 10.633915
8.571823 13.571823
7.829903 12.829903
6.286964 11.286964
6.425454 11.425454
3.434244 8.434244
4.179872 9.179872
7.296239 12.296239
