# capacity
66.310104

# weight price
6.954495 11.954495
6.951993 11.951993
1.144831 6.144831
7.555304 12.555304
6.964617 11.964617
7.348116 12.348116
1.527333 6.527333
7.941814 12.941814
1.552610 6.552610
1.611942 6.611942
5.437650 10.437650
5.939322 10.939322
7.578953 12.578953
5.270875 10.270875
1.869567 6.869567
7.979475 12.979475
5.805980 10.805980
6.996447 11.996447
6.284042 11.284042
2.368939 7.368939
1.337961 6.337961
3.062226 8.062226
6.925298 11.925298
7.876708 12.876708
8.333711 13.333711
